Course Code,Course Name,Date,Status
16242101,Transforms and Vector Calculus,2025-08-26 11:53:27,Present
16242101,Transforms and Vector Calculus,2025-08-26 11:53:45,Present
16242101,Transforms and Vector Calculus,2025-08-26 11:54:49,Present
16242101,Transforms and Vector Calculus,2025-08-26 11:56:51,Present
16242101,Transforms and Vector Calculus,2025-08-26 11:57:20,Present
16242101,Transforms and Vector Calculus,2025-08-26 11:57:33,Present
16242101,Transforms and Vector Calculus,2025-08-26 11:59:05,Absent
16242101,Transforms and Vector Calculus,2025-08-26 11:59:22,Present
16242101,Transforms and Vector Calculus,2025-08-26 12:10:22,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:52:43,Absent
16242102,Design and Analysis of Algorithms,2025-08-26 11:53:09,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:53:27,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:56:33,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:56:51,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:57:55,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:58:23,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:58:39,Present
16242102,Design and Analysis of Algorithms,2025-08-26 11:59:48,Absent
16242102,Design and Analysis of Algorithms,2025-08-26 12:00:09,Present
16242102,Design and Analysis of Algorithms,2025-08-26 12:00:34,Present
16242102,Design and Analysis of Algorithms,2025-08-26 12:02:28,Present
16242103,Database Management System,2025-08-26 11:52:43,Absent
16242103,Database Management System,2025-08-26 11:53:09,Present
16242103,Database Management System,2025-08-26 11:54:49,Present
16242103,Database Management System,2025-08-26 11:56:33,Present
16242103,Database Management System,2025-08-26 11:58:23,Present
16242104,Operating Systems,2025-08-26 11:53:09,Present
16242104,Operating Systems,2025-08-26 11:53:27,Present
16242104,Operating Systems,2025-08-26 11:54:49,Present
16242104,Operating Systems,2025-08-26 11:56:33,Present
16242104,Operating Systems,2025-08-26 11:56:51,Present
16242104,Operating Systems,2025-08-26 11:58:23,Present
16242104,Operating Systems,2025-08-26 11:58:39,Present
16242104,Operating Systems,2025-08-26 12:00:34,Present
16242104,Operating Systems,2025-08-26 12:02:28,Present
16242104,Operating Systems,2025-08-26 12:10:22,Present
16242105,Computer Networks,2025-08-26 11:53:27,Present
16242105,Computer Networks,2025-08-26 11:53:45,Present
16242105,Computer Networks,2025-08-26 11:54:49,Absent
16242105,Computer Networks,2025-08-26 11:57:20,Present
16242105,Computer Networks,2025-08-26 11:57:33,Present
16242105,Computer Networks,2025-08-26 11:58:39,Absent
16242105,Computer Networks,2025-08-26 11:59:05,Present
16242105,Computer Networks,2025-08-26 11:59:22,Present
16242105,Computer Networks,2025-08-26 12:00:34,Present
16242105,Computer Networks,2025-08-26 12:02:28,Present
16242105,Computer Networks,2025-08-26 12:10:22,Absent
16242106,Design and Analysis of Algorithms Lab,2025-08-26 11:53:45,Present
16242106,Design and Analysis of Algorithms Lab,2025-08-26 11:57:20,Present
16242106,Design and Analysis of Algorithms Lab,2025-08-26 11:57:33,Present
16242106,Design and Analysis of Algorithms Lab,2025-08-26 11:59:05,Present
16242106,Design and Analysis of Algorithms Lab,2025-08-26 11:59:05,Present
16242107,Database Management System Lab,2025-08-26 11:58:39,Present
16242107,Database Management System Lab,2025-08-26 11:59:05,Present
16242108,Problem Solving Through Python Programming,2025-08-26 11:54:49,Absent
16242108,Problem Solving Through Python Programming,2025-08-26 12:10:22,Present
16242109,Semester Proficiency,2025-08-26 11:53:27,Present
16242109,Semester Proficiency,2025-08-26 11:53:45,Present
16242109,Semester Proficiency,2025-08-26 11:58:39,Present
16242110,Macro Project-I,2025-08-26 11:52:43,Present
16242110,Macro Project-I,2025-08-26 11:57:55,Present
16242111,Self-learning/Presentation,,
16242112,Cyber Security,2025-08-26 11:52:43,Present
16242112,Cyber Security,2025-08-26 11:53:09,Present
16242112,Cyber Security,2025-08-26 11:57:55,Present
16242112,Cyber Security,2025-08-26 11:58:23,Present
16242112,Cyber Security,2025-08-26 11:59:48,Present
16242112,Cyber Security,2025-08-26 12:00:09,Present
NEC00076,LT Spice Tutorial for Circuit Simulation,2025-08-26 11:54:49,Present
